B00007EDLW,[-0.4767],[1],"[[disappoint, item, work]]","[[disappoint item work, -0.4767, 1]]"
B00MOBTNZG,"[-0.2382, 0.9376]","[4, 3]","[[awesome, product, android, system, restart, time, connect, ipad, real, issue], [own, elf, love, think, model, well, found, take, longer, acquire, satellite, seem, issue, io, software, cause, io, elf, appbr, plastic, cover, display, scratch, material, pouch, put, make, scratch, screenbr, side, usefulness, gps, excellent, battery, life, superb]]","[[awesome product android system restart time connect ipad real issue, -0.2382, 4], [own elf love think model well found take longer acquire satellite seem issue io software cause io elf appbr plastic cover display scratch material pouch put make scratch screenbr side usefulness gps excellent battery life superb, 0.9376, 3]]"
B00MUJQ7T2,[0.0],[2],"[[wasnt, audio, left, side]]","[[wasnt audio left side, 0.0, 2]]"
B00MYSG0C8,[0.8481],[5],"[[case, arrive, estimate, delivery, date, fit, work, awesome, warp]]","[[case arrive estimate delivery date fit work awesome warp, 0.8481, 5]]"
B00N0B5JGG,[0.6597],[3],"[[fit, phone, better]]","[[fit phone better, 0.6597, 3]]"
B00N1CSEMK,[0.4927],[5],"[[case, good]]","[[case good, 0.4927, 5]]"
B00N28AUBQ,"[0.6369, 0.6369, 0.8481, 0.5719, 0.8271, 0.4215, 0.9022, 0.6249, 0.8957, 0.6249, 0.8151, 0.7395, 0.6249, 0.7073, 0.6369, 0.6249, 0.3377]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4]","[[work, lot, dust, need, case, protect, port, put, case, kind, hassle, youtube, application, video, help, lot, temper, glass, screen, protector, case, work, take, screen, protector, remove, side, tape, rubbing, alcohol, hair, drier, watch, youtube, great, case, way, cheaper], [case, save, iphone, occasion], [great, protection], [return, customer, great, product], [product], [case, use, phone, box, screen, protector], [case, perfect, thick, screen, protector, great], [work, great], [buy, son, work], [take, shield, face, fingerprint, reader, work, buy, glass, cover, face, go, buy, price], [excellent, product], [get, time, say], [], [course, case, market, ], [work]]","[[work lot dust need case protect port put case kind hassle youtube application video help lot temper glass screen protector case work take screen protector remove side tape rubbing alcohol hair drier watch youtube great case way cheaper, 0.6369, 5], [case save iphone occasion, 0.6369, 5], [great protection, 0.8481, 5], [return customer great product, 0.5719, 5], [product, 0.8271, 5], [case use phone box screen protector, 0.4215, 5], [case perfect thick screen protector great, 0.9022, 5], [work great, 0.6249, 5], [buy son work, 0.8957, 5], [take shield face fingerprint reader work buy glass cover face go buy price, 0.6249, 5], [excellent product, 0.8151, 5], [get time say, 0.7395, 5], [, 0.6249, 5], [course case market , 0.7073, 5], [work, 0.6369, 5], [, 0.6249, 5], [, 0.3377, 4]]"
B00NLWQMAQ,[0.2263],[3],[[okay]],"[[okay, 0.2263, 3]]"
B00NLYSVA8,"[0.7, 0.4754, 0.6249, 0.8856]","[4, 5, 5, 4]","[[get, timeand], [case, love, clip, belt, holder, nice], [case, look, note, fit, thick, case, affords, deal, protection, complaint, magnet, flap, close, stay, close, fine], [ship, product]]","[[get timeand, 0.7, 4], [case love clip belt holder nice, 0.4754, 5], [case look note fit thick case affords deal protection complaint magnet flap close stay close fine, 0.6249, 5], [ship product, 0.8856, 4]]"
B00NWA7DOG,[0.9524],[5],"[[case, drop, phone, time, case, protects, block, port, button, happy, case]]","[[case drop phone time case protects block port button happy case, 0.9524, 5]]"
B00NZLOSBS,[0.2023],[3],"[[seems, wide, slide, side, samsung, gtn, otherwise, work, fine]]","[[seems wide slide side samsung gtn otherwise work fine, 0.2023, 3]]"
B00O1JPURE,"[-0.2247, 0.0, 0.0516]","[1, 1, 5]","[[phone, great, problem, arrive], [phone, last, mo, coulnt, get, refund, credit, disappoint], [phone, work, mobile, sim, card]]","[[phone great problem arrive, -0.2247, 1], [phone last mo coulnt get refund credit disappoint, 0.0, 1], [phone work mobile sim card, 0.0516, 5]]"
B00OBW84OC,[0.6573],[5],"[[come, awesome, screen]]","[[come awesome screen, 0.6573, 5]]"
B00OMWRSVG,[0.0],[4],"[[accessory, need, phone, bundle]]","[[accessory need phone bundle, 0.0, 4]]"
B00P6TPFIW,[0.2382],[4],"[[far, pop, drop, snap, back]]","[[far pop drop snap back, 0.2382, 4]]"
B00P7NT5GU,"[0.6808, 0.2118, 0.6369]","[2, 2, 4]","[[convinient], [love, case, month, everything, start, fall, apart], [hole, top, strap, attache, tear, month, use, excite, wallet, end, loose, item, get, otter, box, love]]","[[convinient, 0.6808, 2], [love case month everything start fall apart, 0.2118, 2], [hole top strap attache tear month use excite wallet end loose item get otter box love, 0.6369, 4]]"
B00P9G6IXS,[0.6249],[5],"[[traveling, add, bulk]]","[[traveling add bulk, 0.6249, 5]]"
B00PBRLXE4,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00PFRRVF0,[0.8957],[5],"[[deliver, time, picture, fit, phone, perfect, condition, thanks]]","[[deliver time picture fit phone perfect condition thanks, 0.8957, 5]]"
B00PJ9E9HM,[0.8908],[5],"[[awesome, case, husband, happy, slim, fit, design]]","[[awesome case husband happy slim fit design, 0.8908, 5]]"
B00PKUK8UC,[-0.2716],[1],"[[person, look, year, made, itall, plastic, junky, gem]]","[[person look year made itall plastic junky gem, -0.2716, 1]]"
B00PO79BWM,[-0.2846],[3],"[[charge, get, pay]]","[[charge get pay, -0.2846, 3]]"
B00PV45GXQ,"[0.7003, 0.6249, 0.8439]","[5, 5, 5]","[[product, price, im, happy, stereo], [nothing, say, love, itbr, camera, come, see, attach, radio]]","[[product price im happy stereo, 0.7003, 5], [nothing say love itbr camera come see attach radio, 0.6249, 5], [, 0.8439, 5]]"
B00PW3GJRS,[-0.4215],[1],"[[corner, break, day]]","[[corner break day, -0.4215, 1]]"
B00Q106F0C,[0.8442],[5],"[[try, set, take, care]]","[[try set take care, 0.8442, 5]]"
B00Q1O5D24,"[0.0769, 0.7717, 0.0]","[3, 5, 3]","[[thank, love], [think, case, glitter, sparkle, didnt, letter, look], [didnt, showing, wear, tear]]","[[thank love, 0.0769, 3], [think case glitter sparkle didnt letter look, 0.7717, 5], [didnt showing wear tear, 0.0, 3]]"
B00Q4XH2OY,[0.024],[4],"[[case, problem, id, come, use]]","[[case problem id come use, 0.024, 4]]"
B00Q6X1CM0,[0.128],[2],"[[cool, design, super, remove, broke, bottom, hard, plastic]]","[[cool design super remove broke bottom hard plastic, 0.128, 2]]"
B00Q7VRBDA,[-0.2584],[3],"[[headphone, jack, use]]","[[headphone jack use, -0.2584, 3]]"
B00QIEYY5O,"[0.4754, -0.3612]","[4, 1]","[[mine, stop, work, week, return, buck, stay], [quality, price]]","[[mine stop work week return buck stay, 0.4754, 4], [quality price, -0.3612, 1]]"
B00QN5G9K6,[-0.3923],[1],"[[paper, tab, peel, package, receive, none, peel, put, trash, waste, money, waste, time, try, get, recommend, product, anyone]]","[[paper tab peel package receive none peel put trash waste money waste time try get recommend product anyone, -0.3923, 1]]"
B00QP7LE6Q,[-0.5994],[5],"[[buy, use, grocery, cart, iphone, use, grocery, list, app, shop, hold, phone, fall]]","[[buy use grocery cart iphone use grocery list app shop hold phone fall, -0.5994, 5]]"
B00QPZL800,[0.0191],[4],"[[get, dont, want, screw, phone, thats, im, take, phone, someone, get]]","[[get dont want screw phone thats im take phone someone get, 0.0191, 4]]"
B00QTEU78Q,"[0.3182, 0.0, 0.9591, 0.0, -0.3724, 0.923, 0.6369, 0.8957]","[5, 4, 4, 4, 2, 5, 5, 5]","[[decent, lens, pay, fisheye, effect, macro, affect, take, extreme, closeup, throw, picture, keyboardscreen, fisheye, lens], [allows, cool, photo], [consider, price, wasnt, expect, product, use, dont, remove, phone, case, use, work, facing, camera, iphone, use, eye, lens, come, pack, wide, eyemacro, lens, want, bring, clamp, look, sturdy, material, isnt, flimsy, nice, part, clamp, bit, longer, thats, issue, critique, foam, pad, thicker], [wind, angle], [impress, quality, lens], [product, receive, quality, blurry, photo, product, write, review, receive, email, customer, service, offering, send, product, exchange, satisfaction, let, tell, satisfy, item, apple, bunch, second, work, amaze, photo, come, blurry, spot, company, care, customer, order, need], [amaze, quality, use]]","[[decent lens pay fisheye effect macro affect take extreme closeup throw picture keyboardscreen fisheye lens, 0.3182, 5], [allows cool photo, 0.0, 4], [consider price wasnt expect product use dont remove phone case use work facing camera iphone use eye lens come pack wide eyemacro lens want bring clamp look sturdy material isnt flimsy nice part clamp bit longer thats issue critique foam pad thicker, 0.9591, 4], [wind angle, 0.0, 4], [impress quality lens, -0.3724, 2], [product receive quality blurry photo product write review receive email customer service offering send product exchange satisfaction let tell satisfy item apple bunch second work amaze photo come blurry spot company care customer order need, 0.923, 5], [amaze quality use, 0.6369, 5], [, 0.8957, 5]]"
B00QUYOGYG,"[0.8357, 0.0, 0.0, 0.8316, 0.0]","[5, 5, 4, 5, 5]","[[ivexpected], [case, color], [], [work, make], [protects, phone]]","[[ivexpected, 0.8357, 5], [case color, 0.0, 5], [, 0.0, 4], [work make, 0.8316, 5], [protects phone, 0.0, 5]]"
B00QZ9VT2I,[0.491],[5],"[[make, print, case, slim, easy, attach]]","[[make print case slim easy attach, 0.491, 5]]"
B00R1D3Z10,"[0.9393, -0.6387, 0.7713]","[4, 1, 5]","[[speaker, suffer, spray, shower, head, use, behave, short, dry, turn, announce, power, volume, stutter, turn, confusing, button, didnt, help, bury, pillow, blanket, muffle, sound, battery, die, battery, cant, removedbr, br, expect, anything, price, expect, longer, use], [stop, work, splash, kayak, ok, speaker, plan, keep, month, seller, sent, replacement, ask, emailing, customer, service, time, want, keep, customer, thats, find, nowadays, kudos, victsing], [purchase, daughter, daughter, us, kayak, love, use, go, party, camp, use, speaker, music, iphone]]","[[speaker suffer spray shower head use behave short dry turn announce power volume stutter turn confusing button didnt help bury pillow blanket muffle sound battery die battery cant removedbr br expect anything price expect longer use, 0.9393, 4], [stop work splash kayak ok speaker plan keep month seller sent replacement ask emailing customer service time want keep customer thats find nowadays kudos victsing, -0.6387, 1], [purchase daughter daughter us kayak love use go party camp use speaker music iphone, 0.7713, 5]]"
B00R1XXVV4,[0.765],[5],[[thank]],"[[thank, 0.765, 5]]"
B00R5VTH74,[0.1779],[1],"[[need, ]]","[[need , 0.1779, 1]]"
B00RUKW64Q,[0.9325],[4],"[[kick, stand, prying, key, knife, great, case, feel, hand, provide, grip, protection, great, price]]","[[kick stand prying key knife great case feel hand provide grip protection great price, 0.9325, 4]]"
B00S5DO5KK,[0.0],[5],"[[godo, quality]]","[[godo quality, 0.0, 5]]"
B00SKVDAXA,[0.7717],[5],"[[arrive, time, picture, love]]","[[arrive time picture love, 0.7717, 5]]"
B00SSP2XFO,[0.0],[3],"[[color, burgundy, hot, pink]]","[[color burgundy hot pink, 0.0, 3]]"
B00SWAOO7A,"[0.997, 0.4854, -0.1429]","[5, 5, 4]","[[seems, sell, type, product, name, triangular, ear, bud, connect, springy, wire, get, battery, life, extend, blur, tooth, range, walk, phone, gym, realizing, music, uninterupted, im, audio, expert, sound, fine, run, work], [headset, use, rpg, allow, make, movement, worry, pull, wire, allow, room, miss, rest, conversation, thats, go, albeit, signal, weaken, move, meter, bluetooth, device, disconnect, reconnected, returning, table, work, windows, o, hour, charge, device, tell, battery, run, comfortwise, use, appropriatelysized, earplug, ear, hurt, hour, wear, headset, mileage, varybr, br, seller, product, receive, expect, time, frame], [going, bluetooth, headset, use, work, walk, chore, etc, sound, didnt, stay, ear, others, stay, place, sound, muffle, say, chip, power, find, senbowes, satisfy, audio, quality, sound, good, clear, stay, place, exercise, dont, need, worry, fall, thing, exercisetype, bluetooth, earbuds, helmet, riding, motorcycle, design, fit, earpockets, try, test, call, person, say, hear, fine, quality, enjoy, need, converse, withsome, dont, need, ear, remove, put, neck, fit, need, ear, dont, squeeze, ear, exercisetype, one, look, nice, gaudy, icon, graphic, star, bought, give, review, job, make, oh, yeah, come, package]]","[[seems sell type product name triangular ear bud connect springy wire get battery life extend blur tooth range walk phone gym realizing music uninterupted im audio expert sound fine run work, 0.997, 5], [headset use rpg allow make movement worry pull wire allow room miss rest conversation thats go albeit signal weaken move meter bluetooth device disconnect reconnected returning table work windows o hour charge device tell battery run comfortwise use appropriatelysized earplug ear hurt hour wear headset mileage varybr br seller product receive expect time frame, 0.4854, 5], [going bluetooth headset use work walk chore etc sound didnt stay ear others stay place sound muffle say chip power find senbowes satisfy audio quality sound good clear stay place exercise dont need worry fall thing exercisetype bluetooth earbuds helmet riding motorcycle design fit earpockets try test call person say hear fine quality enjoy need converse withsome dont need ear remove put neck fit need ear dont squeeze ear exercisetype one look nice gaudy icon graphic star bought give review job make oh yeah come package, -0.1429, 4]]"
B00T020W66,[0.7906],[2],"[[snug, microsoft, surface, keyboard, cover, look, flap, work]]","[[snug microsoft surface keyboard cover look flap work, 0.7906, 2]]"
B00T2CW3H0,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00T40YG84,[0.25],[4],"[[part, put, case, feel, phone, drop, screen, otterbox]]","[[part put case feel phone drop screen otterbox, 0.25, 4]]"
B00TATZTHQ,[-0.0772],[5],"[[intelliglass, product, use, note, wife, galaxy, go, problem, note, fault, look, clean, spen, glide, screen]]","[[intelliglass product use note wife galaxy go problem note fault look clean spen glide screen, -0.0772, 5]]"
B00TDCI6DO,[0.8441],[5],"[[tad, slippery, doesnt, make, phone, crazy, bulky, love]]","[[tad slippery doesnt make phone crazy bulky love, 0.8441, 5]]"
B00TEEN7SA,"[0.7239, 0.0]","[5, 1]","[[work, return], [product, expedite, delivery, thanks]]","[[work return, 0.7239, 5], [product expedite delivery thanks, 0.0, 1]]"
B00THOLKGI,[0.9313],[5],"[[profile, put, spot, windshield, driver, side, door, block, view, install, slide, phone, great, price, everyone, love]]","[[profile put spot windshield driver side door block view install slide phone great price everyone love, 0.9313, 5]]"
B00TN7HWS4,"[0.4215, 0.0]","[5, 4]","[[nice], [doesnt, stay, close, bill, prefer, snap, closure, magnet]]","[[nice, 0.4215, 5], [doesnt stay close bill prefer snap closure magnet, 0.0, 4]]"
B00TUSNCPI,[-0.1027],[2],"[[insert, power, port, dont, know, work]]","[[insert power port dont know work, -0.1027, 2]]"
B00U6V51JS,[0.0],[1],[[say]],"[[say, 0.0, 1]]"
B00UGSOQGK,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00UHCASFI,"[0.4404, 0.8122, 0.872, 0.836, 0.7978]","[5, 5, 4, 5, 4]","[[expect], [cover, came, rubber, drop, phone, protect, afraid, drop, rain, rub, purse, touch, stay, annoyance, love, plug, go, close, hole, work, plug, charger, time, plug, get, way, fear, bend, way, wear, bend, far, look, crease, preference, want, hole, maybe, skip, cover], [case, cute], [perfect, love], [nice, case, wont, protect, phone, drop, wife, love]]","[[expect, 0.4404, 5], [cover came rubber drop phone protect afraid drop rain rub purse touch stay annoyance love plug go close hole work plug charger time plug get way fear bend way wear bend far look crease preference want hole maybe skip cover, 0.8122, 5], [case cute, 0.872, 4], [perfect love, 0.836, 5], [nice case wont protect phone drop wife love, 0.7978, 4]]"
B00UN1GBCW,[0.9062],[5],"[[get, case, wkeyboard, map, design, love, wireless, keyboard, connects, room, type, fact, connect, iphone, keyboard, remove, case, allow, use, case, close, mini, keyboard, inside]]","[[get case wkeyboard map design love wireless keyboard connects room type fact connect iphone keyboard remove case allow use case close mini keyboard inside, 0.9062, 5]]"
B00UUDZSKE,[-0.2755],[1],"[[product, wont, work, anymore, moth, use, recommend, product]]","[[product wont work anymore moth use recommend product, -0.2755, 1]]"
B00UVSAFME,[0.4215],[5],"[[nice, look]]","[[nice look, 0.4215, 5]]"
B00V4PA67W,"[0.9711, 0.9392]","[5, 5]","[[buy, microphone, use, motorola, way, device, work, gadget, excellent, sound, quality, price, recommend, product, others], [headset, ear, hang, hence, earhook, ear, set, make, material, allow, move, worry, snag, rip, cord, sound, quality, always, hear, problem, earpiece, loud, give, sound, make, understanding, whats, say, speaker, clearer, expect, turn, volume, time, year, excite, headset, buy, motorola, xv, love, clarity, comfort, style, extra, bit, money, cost, compare, style, update, review, come, month, ensure, durability, issue, base, build, comparison, earlier, set, buy, see, issue, review, recommend, purchase, d, shape, earhook, headset]]","[[buy microphone use motorola way device work gadget excellent sound quality price recommend product others, 0.9711, 5], [headset ear hang hence earhook ear set make material allow move worry snag rip cord sound quality always hear problem earpiece loud give sound make understanding whats say speaker clearer expect turn volume time year excite headset buy motorola xv love clarity comfort style extra bit money cost compare style update review come month ensure durability issue base build comparison earlier set buy see issue review recommend purchase d shape earhook headset, 0.9392, 5]]"
B00V5EEJTS,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B00V5T8TSK,[0.8555],[5],"[[case, fit, phone]]","[[case fit phone, 0.8555, 5]]"
B00V7K3WSO,[-0.2755],[5],"[[fit, plastic]]","[[fit plastic, -0.2755, 5]]"
B00V8LE72W,[0.88],[3],"[[plenty, slot, card, stitch, youll, hard, time, pull, fold, dollar, bill, want, keep, add, bulk, case, ive, case, month, show, sign, color, light, weight, good, protection, phone, blocking, button, port]]","[[plenty slot card stitch youll hard time pull fold dollar bill want keep add bulk case ive case month show sign color light weight good protection phone blocking button port, 0.88, 3]]"
B00V9PTTK2,"[-0.4939, 0.9217]","[5, 3]","[[case, make, phone, seem, use, friend, buy, sturdy, discover, wallet, kind, front, cover, phone, wallet, material], [reviewer, concern, case, install, problem, isnt, competitor, provide, type, protection, price, caseprotector, cant, beat]]","[[case make phone seem use friend buy sturdy discover wallet kind front cover phone wallet material, -0.4939, 5], [reviewer concern case install problem isnt competitor provide type protection price caseprotector cant beat, 0.9217, 3]]"
B00VGTC8M2,[0.6249],[4],"[[awesome, case]]","[[awesome case, 0.6249, 4]]"
B00VJV4NKC,[0.4404],[3],"[[gift, someone]]","[[gift someone, 0.4404, 3]]"
B00VQWAO20,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00VSJE1MU,"[-0.4215, 0.2732, 0.6369, 0.9239, 0.0, 0.8519, 0.0, 0.872, 0.8477, 0.8587, -0.296, -0.1666, -0.1945, 0.8122, 0.0516, 0.9042, 0.5719, 0.5994, -0.7021, 0.2023, 0.9274, 0.8876, 0.9001]","[1, 4, 5, 1, 1, 5, 5, 4, 5, 5, 1, 1, 1, 5, 1, 5, 5, 1, 4, 4, 5, 5, 5]","[[selfie, stick, easy, use, box, thing, smooth, extend, retracting, price, deal], [take, second, place, phone, take, selfie, pricebr, br, see, people, review, bluetooth, get, plug, sinc, bluetooth, lose, remote, aha], [receive, doesnt, work, plug, phone, instruction, doesnt, take, picture, press, button, instruction, say, setting, take, picture, volume, suggestedstill, nothing, contact, company, wait, hear, contacting, company, receive, refund, complimentary, better, model, selfiestick, excellent, customer, service, experience], [daughter, us, everyday, wouldnt, go], [work, fine, get, kid], [selfie, stick, work, day, wouldnt, work, iphone, stick, work, friend, iphone, iphone, isnt, work], [bolt, nut, hold, stick, phone, holder, come, undone, concert, miss, nut, tiny, find, replacement, didnt, get, use], [surprise, like, use, selfie, stick, buy, vacation, get, picture, use, compact, require, batterycharging, others, plug, cord, attach, time, use, button, deal, nice, drain, cell, battery, blue, tooth, worry, charge, selfie, stick], [knob, fell, day, use, trip, carry, thing, way, use, snap, photo, glad, phone, fall, river, ill, upload, photo, get, home, edit, upload, photo], [buy, son, droid, mini, say, work, phone, didnt, everything, say, box, work, iphone, work, couple, day, coupon, f, day, usining, snap, half, middle, take, picture, went, trash, took, vacation, stop, take, picture, go, trash, dont, waste, money], [find, advise, change, camera, setting, samsung, phone, set, use, volume, key, take, photo, work, charm, plug, play, wish, come, well, instruction], [awesome, purchase, love, selfiestick], [work, phone], [broke, nd, day], [product, say, work, android, phone, one, htc, m, disappoint, find, product, work, phone, detail, state, time, end, find, arrive, return, process, easy, prop, amazon, buy, htc, m], [im, hop, result, click, button, time, take, picture, reseat, wire, dozen, time, everything, simple, reseat, click, option, base, assumption, unit, reorder, replacement, see], [price, good, quality, fine], [selfie, stick, operate, love, plug, audio, jack, star, click, photo], [daughter, use, way, extends, give, option, coverage, want, photo, nice, price, product], [selfiestick, exceed, expectation, phone, firm, issue, phone, fall, stick, use, ie, bluetooth, plug, aux, hole, complaint, button, correlate, volume, control, android, phone, download, camera, app, make, work, im, work, apple, model], [decent, stick, pole, bit, heavier, make, beat], [love, love]]","[[selfie stick easy use box thing smooth extend retracting price deal, -0.4215, 1], [take second place phone take selfie pricebr br see people review bluetooth get plug sinc bluetooth lose remote aha, 0.2732, 4], [receive doesnt work plug phone instruction doesnt take picture press button instruction say setting take picture volume suggestedstill nothing contact company wait hear contacting company receive refund complimentary better model selfiestick excellent customer service experience, 0.6369, 5], [daughter us everyday wouldnt go, 0.9239, 1], [work fine get kid, 0.0, 1], [selfie stick work day wouldnt work iphone stick work friend iphone iphone isnt work, 0.8519, 5], [bolt nut hold stick phone holder come undone concert miss nut tiny find replacement didnt get use, 0.0, 5], [surprise like use selfie stick buy vacation get picture use compact require batterycharging others plug cord attach time use button deal nice drain cell battery blue tooth worry charge selfie stick, 0.872, 4], [knob fell day use trip carry thing way use snap photo glad phone fall river ill upload photo get home edit upload photo, 0.8477, 5], [buy son droid mini say work phone didnt everything say box work iphone work couple day coupon f day usining snap half middle take picture went trash took vacation stop take picture go trash dont waste money, 0.8587, 5], [find advise change camera setting samsung phone set use volume key take photo work charm plug play wish come well instruction, -0.296, 1], [awesome purchase love selfiestick, -0.1666, 1], [work phone, -0.1945, 1], [broke nd day, 0.8122, 5], [product say work android phone one htc m disappoint find product work phone detail state time end find arrive return process easy prop amazon buy htc m, 0.0516, 1], [im hop result click button time take picture reseat wire dozen time everything simple reseat click option base assumption unit reorder replacement see, 0.9042, 5], [price good quality fine, 0.5719, 5], [selfie stick operate love plug audio jack star click photo, 0.5994, 1], [daughter use way extends give option coverage want photo nice price product, -0.7021, 4], [selfiestick exceed expectation phone firm issue phone fall stick use ie bluetooth plug aux hole complaint button correlate volume control android phone download camera app make work im work apple model, 0.2023, 4], [decent stick pole bit heavier make beat, 0.9274, 5], [love love, 0.8876, 5], [, 0.9001, 5]]"
B00VT9IQ52,[0.7334],[5],"[[amaze, product, iphone, month, ive, use, work, perfectlytook, shatter, iphone, glass, clean, dustfree, environment, worth, effort]]","[[amaze product iphone month ive use work perfectlytook shatter iphone glass clean dustfree environment worth effort, 0.7334, 5]]"
B00VY2YE64,[0.8834],[5],"[[fit, perfect, work]]","[[fit perfect work, 0.8834, 5]]"
B00W1B8RTM,[0.6369],[5],"[[temper, glass, screen, protector, use, product]]","[[temper glass screen protector use product, 0.6369, 5]]"
B00W6GKCJA,[0.2014],[5],"[[case, anyone, careless, handling, phone, consider, offer, protection, protection, upper, edge, phone, someone, tends, bit, consciousness, work, add, bit, style, build, phone]]","[[case anyone careless handling phone consider offer protection protection upper edge phone someone tends bit consciousness work add bit style build phone, 0.2014, 5]]"
B00WE1QJ94,[0.9022],[5],"[[perfect, fit, colour, see, recommend, purchase]]","[[perfect fit colour see recommend purchase, 0.9022, 5]]"
B00WED1OBU,[0.0],[5],[[want]],"[[want, 0.0, 5]]"
B00WFBOAMG,[0.4404],[5],[[material]],"[[material, 0.4404, 5]]"
B00WFQ9J9A,[0.8016],[5],"[[case, nice]]","[[case nice, 0.8016, 5]]"
B00WFQ9MBU,[0.1531],[1],"[[return, mute, case, switch, connect, phone, mute, switch, work, put, case, disconnect, bum, case, solid]]","[[return mute case switch connect phone mute switch work put case disconnect bum case solid, 0.1531, 1]]"
B00WG7FJ0G,[0.9274],[5],"[[love, love]]","[[love love, 0.9274, 5]]"
B00WJVG74G,[0.6249],[5],"[[awesome, product]]","[[awesome product, 0.6249, 5]]"
B00WJZT8BQ,[-0.1695],[1],"[[worth, heavy, pull, side]]","[[worth heavy pull side, -0.1695, 1]]"
B00WMPDW0G,[-0.4782],[2],"[[minute, receive, package, annoy, reason, sort, bag, packaging, look, think, someone, give, use, refurbish, notice, e, lv, logo, logo, picture, amazon, page, site, state, fulfil, amazon, sent, dealer, find, annoy, expecting, time, shell, cash, apple, m, cable, compare, length, title, product, mislead, state, foot, m, meter, feet, measure, apple, measure, e, lv, cable, ok, foot, dont, call, meter, compare, gold, look, contact, lightning, end, contact, usb, end, contact, inside, thick, compare, thickness, cable, think, product, description, remember, say, duty, pull, ruler, e, lv, cable, thinner, apple, cable, sure, get, call, duty, product, description, state, product, apple, certify, continue, apple, certify, buying, non, apple, replacement, part, e, lv, register, trademark, protect, trademark, law, e, lv, logo, cable, im, receive, mail, product, represent, photo, let, certifiedbr, reading, review, make, wonder, pay, fake, review, customer, receive, quality, better, opinion, wire, feel, thicker, othersit, picheh, ok, didnt, say, thicker, apple, mine, picbr, work, plug, annoy, disappoint, felt, represent, say, get, pay, bought, cheap, receive, cheap, ill, see, last]]","[[minute receive package annoy reason sort bag packaging look think someone give use refurbish notice e lv logo logo picture amazon page site state fulfil amazon sent dealer find annoy expecting time shell cash apple m cable compare length title product mislead state foot m meter feet measure apple measure e lv cable ok foot dont call meter compare gold look contact lightning end contact usb end contact inside thick compare thickness cable think product description remember say duty pull ruler e lv cable thinner apple cable sure get call duty product description state product apple certify continue apple certify buying non apple replacement part e lv register trademark protect trademark law e lv logo cable im receive mail product represent photo let certifiedbr reading review make wonder pay fake review customer receive quality better opinion wire feel thicker othersit picheh ok didnt say thicker apple mine picbr work plug annoy disappoint felt represent say get pay bought cheap receive cheap ill see last, -0.4782, 2]]"
B00WPCZ3X0,"[0.4019, 0.0, 0.0, 0.4019]","[1, 1, 3, 1]","[[stick, fingerprint, see], [item, nowhere, quality, competitor, wish, purchase, asinbhaajqq, cellet, ultrathin, mm, transparency, h, temper, glass, screen, protector, samsung, galaxy, note, cellet, screen, protector, purchase, last, product, protector, scratch, fell, pocket, working, underneath, truck, cellet, experience, multiple, time, scratch], [st, time, drop, phone, case, screen, protector, crack, week, phone], [product, samsung, note, ]]","[[stick fingerprint see, 0.4019, 1], [item nowhere quality competitor wish purchase asinbhaajqq cellet ultrathin mm transparency h temper glass screen protector samsung galaxy note cellet screen protector purchase last product protector scratch fell pocket working underneath truck cellet experience multiple time scratch, 0.0, 1], [st time drop phone case screen protector crack week phone, 0.0, 3], [product samsung note , 0.4019, 1]]"
B00WS48YP4,"[0.8625, 0.6124]","[5, 4]","[[fit, phone, price, quick, ship], [havent, use, clip, keep, purse, knowing, need]]","[[fit phone price quick ship, 0.8625, 5], [havent use clip keep purse knowing need, 0.6124, 4]]"
B00WSRBWSC,[0.9562],[5],"[[criterion, product, meet, coverage, claim, scratch, day, scratch, bubble, screen, follow, instruction, thank, steal, money, edit, write, problem, screen, protector, costumer, support, contact, say, product, factory, flaw, send, replacement, replacement, sent, flawless, love, fit]]","[[criterion product meet coverage claim scratch day scratch bubble screen follow instruction thank steal money edit write problem screen protector costumer support contact say product factory flaw send replacement replacement sent flawless love fit, 0.9562, 5]]"
B00WY7563S,"[-0.3151, 0.4404, 0.6908]","[1, 5, 2]","[[product, defective, customer, service], [quality], [didnt, drop, phone, screen, crack]]","[[product defective customer service, -0.3151, 1], [quality, 0.4404, 5], [didnt drop phone screen crack, 0.6908, 2]]"
B00WY75642,[0.5719],[5],"[[receive, screen, say, need, work, perfect]]","[[receive screen say need work perfect, 0.5719, 5]]"
B00XAX27YQ,"[-0.2654, 0.8138]","[1, 4]","[[case, pocket, credit, card, note, wish, look, feel], [cheap, price, art, blurry, bit, center]]","[[case pocket credit card note wish look feel, -0.2654, 1], [cheap price art blurry bit center, 0.8138, 4]]"
B00XRAGD0G,[0.6369],[5],"[[ppl, comment]]","[[ppl comment, 0.6369, 5]]"
B00XU5MBWM,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
