9984576418,[0.0],[2],"[[item, phone]]","[[item phone, 0.0, 2]]"
B00UXOAD9Q,[-0.4215],[2],"[[broke, day]]","[[broke day, -0.4215, 2]]"
B00UYL41NM,[0.8176],[5],"[[fine, fit, look]]","[[fine fit look, 0.8176, 5]]"
B00UZQV29C,[0.091],[3],"[[glass, adhere, upper, edge, iphone, tiny, bubble, work, disappoint, quality]]","[[glass adhere upper edge iphone tiny bubble work disappoint quality, 0.091, 3]]"
B00V84N4YQ,[0.6369],[5],"[[come, time, screen, maybe, well]]","[[come time screen maybe well, 0.6369, 5]]"
B00VEAF6SG,"[0.0333, 0.8786, -0.3895, 0.4215, 0.391, 0.5136, 0.2023, 0.9274, 0.8199, -0.2249, 0.0, -0.2574, 0.6925, 0.9422, 0.4754, 0.3612, 0.4767, 0.7717, 0.6249, 0.8271, -0.3612]","[4, 4, 2, 5, 3, 1, 5, 5, 5, 5, 1, 4, 4, 5, 5, 3, 4, 5, 5, 5, 2]","[[itfits], [junk], [quality, mount, awesome, impress, strength, plastic, response, spring, clamp, phone, give, cd, way, use, slot], [love, love], [doesnt, fit, mazda, loose], [wife, love, didnt, work, car], [product, hold, phone, hook, cd, player, lock, speed, mobile, phone, shake, grip, firm], [product, work, iphone, phone, face, downward, couldnt, see, lifting, horizontal, position, handsfree, unit, slot, fit, max, snugness, make, turn, dont, waste, money, nice, idea, doesnt, work], [order, th, think, product, give, star, time, use, month, phone, keep, fall, doesnt, seem, way, tighten, hinge, swivel, connect, phone, mine, keep, droop, pop, device, think, concept, poor, executionbr, br, update, ipow, reach, seems, get, version, device, make, change, modification, base, consumer, review, ship, version, say, lot, well, hold, phone, let, slam], [us, holder, become, loose, drop, go, bump, longer], [update, ill, leave, review, post, review, receive, email, company, want, send, update, version, address, problem, ship, quick, want, try, day, give, honest, opinion, meantime, contact, email, phone, make, met, satisfactionbr, br, see, reinforce, phone, connects, arm, connects, part, problem, move, time, worry, break, id, move, loose, good, job, update, version, doubt, ill, issue, update, version, get, star, customer, service, star, product, buying, product, make, ipowbr, br, br, dont, know, heat, month, mount, couldnt, hold, phone, joint, give, end, superglue, place, work, prevent, rotate, suppose, get, pay, unfortunate, couldnt, withstand, use, youre, look, something, roadtrip, cold, climate, work, fine, hate, dashboard, windshield, mount, nice, use, use, cd, player, take], [work, phone, phone, fit, cd, player, hold, phone], [product], [work, hop, well, bag, dash, suction, cup, windshield, end, interference, windshield, thank], [base, arm, doesnt, tension, hold, phone, phone, end, flop, fly, holder, occasion, take, trajectory, land, screen, surface, say, use, risk], [keep, fall, cd, slot, car, work, ok], [item, work, ok, issue, larger, phone, samsung, note, phone, thicker, case, unit, phone, finagle, fit, stay, clamp, make, grip, edge, inwards, oppose, better, accommodate, phonecase, combobr, br, depend, stereo, style, way, mount, block, stereo, display, fault, product, annoying, factor, consider], [subaru, legacy, insert, mount, upsidedown, cd, player, face, slant, seems, br, lg, g, case, worry, depth, holder, phone, round, concern, strength, spring, phone, prefer, position, trust, phone, better, holder, hold, phone, didnt, budge, hit, bump, product], [nice, product]]","[[itfits, 0.0333, 4], [junk, 0.8786, 4], [quality mount awesome impress strength plastic response spring clamp phone give cd way use slot, -0.3895, 2], [love love, 0.4215, 5], [doesnt fit mazda loose, 0.391, 3], [wife love didnt work car, 0.5136, 1], [product hold phone hook cd player lock speed mobile phone shake grip firm, 0.2023, 5], [product work iphone phone face downward couldnt see lifting horizontal position handsfree unit slot fit max snugness make turn dont waste money nice idea doesnt work, 0.9274, 5], [order th think product give star time use month phone keep fall doesnt seem way tighten hinge swivel connect phone mine keep droop pop device think concept poor executionbr br update ipow reach seems get version device make change modification base consumer review ship version say lot well hold phone let slam, 0.8199, 5], [us holder become loose drop go bump longer, -0.2249, 5], [update ill leave review post review receive email company want send update version address problem ship quick want try day give honest opinion meantime contact email phone make met satisfactionbr br see reinforce phone connects arm connects part problem move time worry break id move loose good job update version doubt ill issue update version get star customer service star product buying product make ipowbr br br dont know heat month mount couldnt hold phone joint give end superglue place work prevent rotate suppose get pay unfortunate couldnt withstand use youre look something roadtrip cold climate work fine hate dashboard windshield mount nice use use cd player take, 0.0, 1], [work phone phone fit cd player hold phone, -0.2574, 4], [product, 0.6925, 4], [work hop well bag dash suction cup windshield end interference windshield thank, 0.9422, 5], [base arm doesnt tension hold phone phone end flop fly holder occasion take trajectory land screen surface say use risk, 0.4754, 5], [keep fall cd slot car work ok, 0.3612, 3], [item work ok issue larger phone samsung note phone thicker case unit phone finagle fit stay clamp make grip edge inwards oppose better accommodate phonecase combobr br depend stereo style way mount block stereo display fault product annoying factor consider, 0.4767, 4], [subaru legacy insert mount upsidedown cd player face slant seems br lg g case worry depth holder phone round concern strength spring phone prefer position trust phone better holder hold phone didnt budge hit bump product, 0.7717, 5], [nice product, 0.6249, 5], [, 0.8271, 5], [, -0.3612, 2]]"
B00VG5WPDI,"[0.2716, 0.8689, 0.7579]","[5, 5, 3]","[[im, glad, purchase, temper, screen, put, phone, drop, look, crack], [protection, apply, satisfy, daughter, us, give], [cover, entire, screen, sure, go, job, wish, see, gap, case, cover, screen, protector]]","[[im glad purchase temper screen put phone drop look crack, 0.2716, 5], [protection apply satisfy daughter us give, 0.8689, 5], [cover entire screen sure go job wish see gap case cover screen protector, 0.7579, 3]]"
B00VH82EAI,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00VK79Z6C,[-0.518],[2],"[[go, ok, there, protector, round, face, glass, screen, protector, cant, go, edge, think, edge, scratch, happen, glass, get, scratch, look, company, fault, decide, take]]","[[go ok there protector round face glass screen protector cant go edge think edge scratch happen glass get scratch look company fault decide take, -0.518, 2]]"
B00VL6YGVG,[0.0],[1],"[[son, put, phone, water, test, water, come]]","[[son put phone water test water come, 0.0, 1]]"
B00VNEDJZU,[-0.4767],[1],"[[case, receive, break, wont, stay, close, phone, way]]","[[case receive break wont stay close phone way, -0.4767, 1]]"
B00VUTW9NQ,[-0.7364],[1],"[[put, samsung, galaxy, charger, charge, take, case, phone, chargebr, br, turn, work, set, phone, sideways, hop, use, trip, wont, consider, returning, item, throw, disappointment, recommend]]","[[put samsung galaxy charger charge take case phone chargebr br turn work set phone sideways hop use trip wont consider returning item throw disappointment recommend, -0.7364, 1]]"
B00VV6YIT6,[0.2023],[4],"[[product, fine]]","[[product fine, 0.2023, 4]]"
B00VVSESK8,[0.2453],[1],"[[fit, inch, sylvania, player, case, way, inch, player, inch, player, fit, adjust, strap, thing, work, player, fell, screen, got, brokenbr, br, return, product, asap]]","[[fit inch sylvania player case way inch player inch player fit adjust strap thing work player fell screen got brokenbr br return product asap, 0.2453, 1]]"
B00VXTEYYK,[0.9524],[5],"[[love, service, super, fast, get, couple, day, love]]","[[love service super fast get couple day love, 0.9524, 5]]"
B00WAPTXJM,[0.7783],[5],"[[get, fit, phone, love, casebr, br, belt, clip, awkward, dont, use, work]]","[[get fit phone love casebr br belt clip awkward dont use work, 0.7783, 5]]"
B00WFYEIB6,"[0.2724, 0.4939]","[5, 4]","[[nice, get, knock, son, hand, floor, foot, ground, glass, case, broke], [case]]","[[nice get knock son hand floor foot ground glass case broke, 0.2724, 5], [case, 0.4939, 4]]"
B00WILTAL4,[-0.0348],[5],"[[gotta, say, amp, own, feel, open, box, presence, amp, create, feeling, inside, compare, yearn, wife, debate, brand, amp, go, pick, bit, hiccup, finance, decide, amp, hook, come, let, feel, experience]]","[[gotta say amp own feel open box presence amp create feeling inside compare yearn wife debate brand amp go pick bit hiccup finance decide amp hook come let feel experience, -0.0348, 5]]"
B00WRQ0CMQ,[0.5574],[5],"[[nice, work, fine]]","[[nice work fine, 0.5574, 5]]"
B00WTHFP4S,[0.9079],[5],"[[ptt, make, job, periods, time, contact, make, use, radio]]","[[ptt make job periods time contact make use radio, 0.9079, 5]]"
B00WTK6BHA,"[0.743, 0.6369]","[5, 5]","[[amaze, product, fast, ship, thank]]","[[amaze product fast ship thank, 0.743, 5], [, 0.6369, 5]]"
B00WWHJUM8,"[0.6249, -0.4956]","[5, 3]","[[charge, little, charger, doesnt, thru, case, luv, length, color], [awesome, cable]]","[[charge little charger doesnt thru case luv length color, 0.6249, 5], [awesome cable, -0.4956, 3]]"
B00X5HA2QM,"[-0.2755, 0.6369]","[1, 5]","[[case, wouldnt, go, phone, end, break, wouldnt, recommend, case]]","[[case wouldnt go phone end break wouldnt recommend case, -0.2755, 1], [, 0.6369, 5]]"
B00X6XWX8A,[0.872],[5],"[[st, time, purchase, experience, amazon, awesome, product, price, ship, time]]","[[st time purchase experience amazon awesome product price ship time, 0.872, 5]]"
B00XC2FAM6,[0.7968],[2],"[[watch, dont, know, receive, time, look, thats, read, print, power, watch, everything, sure, im, conversant, language, way, select, language, preference, couldnt, figure, seller, contact, info, find, get, help, way, amazon, time, return, anything, purchase, process, refund, apply]]","[[watch dont know receive time look thats read print power watch everything sure im conversant language way select language preference couldnt figure seller contact info find get help way amazon time return anything purchase process refund apply, 0.7968, 2]]"
B00XDNP8ZS,[0.7537],[3],"[[come, screen, protector, case, stylus, wish, case, didnt, brake, easy, volume, button]]","[[come screen protector case stylus wish case didnt brake easy volume button, 0.7537, 3]]"
B00XL7UUMM,[0.7832],[5],"[[get, compliment]]","[[get compliment, 0.7832, 5]]"
B00XN0YVJK,[-0.0444],[1],"[[think, well, quality, logo, print, case, order, end, get, dark, blue]]","[[think well quality logo print case order end get dark blue, -0.0444, 1]]"
B00XU1OOI0,"[0.4754, 0.0]","[5, 5]","[[nice, product, work, order, fro], [work]]","[[nice product work order fro, 0.4754, 5], [work, 0.0, 5]]"
B00XWT4OH6,"[0.0, 0.5095]","[3, 5]","[[work, fine, email, instruction, cost, replace, lose, car, key, today, real, bargain], [work, need, app, time, check]]","[[work fine email instruction cost replace lose car key today real bargain, 0.0, 3], [work need app time check, 0.5095, 5]]"
B00XZWQZW2,[0.5267],[5],"[[get, boyfriend, love, auto, case, withstand, job, month, case, look, brand]]","[[get boyfriend love auto case withstand job month case look brand, 0.5267, 5]]"
B00Y0G9MLI,"[0.3182, 0.9382, -0.1027, 0.8151, 0.0, 0.8316]","[5, 5, 2, 5, 1, 5]","[[case, make, phone, couple, time, protection], [cover, wont, stay, rubber, make, take, pocket], [case, price], [p, o], [fit, case, g, stylo, market, use, phone, work, case, doesnt, make, phone, bulky, fit, perfect], [cool, product]]","[[case make phone couple time protection, 0.3182, 5], [cover wont stay rubber make take pocket, 0.9382, 5], [case price, -0.1027, 2], [p o, 0.8151, 5], [fit case g stylo market use phone work case doesnt make phone bulky fit perfect, 0.0, 1], [cool product, 0.8316, 5]]"
B00Y4JJLDK,[0.5719],[5],"[[excellent, case]]","[[excellent case, 0.5719, 5]]"
B00Y8M4BTM,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00Y9B5VJG,[0.0],[1],"[[case, doesnt, stay, fragile, return]]","[[case doesnt stay fragile return, 0.0, 1]]"
B00YBCL5B6,"[0.5994, 0.6369]","[4, 1]","[[read, review, item, make, feel, accept, return, get, mail, im, sell, online, get, rid, mistake, buying, ], [case, construct, consider, price, case, month, color, fade, bit, spine, case]]","[[read review item make feel accept return get mail im sell online get rid mistake buying , 0.5994, 4], [case construct consider price case month color fade bit spine case, 0.6369, 1]]"
B00YE07DES,[0.8957],[5],"[[device, love, way, call, feature, device]]","[[device love way call feature device, 0.8957, 5]]"
B00YGT7UU4,[0.6249],[5],"[[come, expect, shipment, country, work, sun]]","[[come expect shipment country work sun, 0.6249, 5]]"
B00YLECTUU,[-0.4689],[1],"[[doesnt, close, poor, fit, use]]","[[doesnt close poor fit use, -0.4689, 1]]"
B00YQM25PQ,[0.7906],[4],"[[quality, phone, fit, speddy, delivey]]","[[quality phone fit speddy delivey, 0.7906, 4]]"
B00YSBUT8K,[0.0],[4],"[[seems, work, expect, bit, bulkier, expect]]","[[seems work expect bit bulkier expect, 0.0, 4]]"
B00YSYXL3C,"[0.6369, 0.9335, -0.6808]","[5, 4, 1]","[[fail, week, joint, lose, friction], [recommend], [chose, holder, reason, description, say, asus, zenfone, look, reading, comment, seem, put, chrysler, cd, slot, fit, snug, far, buttttt, put, zenfone, inch, phone, case, cover, hold, way, sturdiness, touch, phone, want, fall, zenfone, curve, make, contact, phone, mount, grip, edge, phone, way, way, risky, alcatel, idol, nexus, note, fit, awesome, recommend, phone, holder, phone, back, ding, product, star, description, say, zenfone, way, holder, zenfone, guess, wife, get, flex, look, something, fit, zenfone]]","[[fail week joint lose friction, 0.6369, 5], [recommend, 0.9335, 4], [chose holder reason description say asus zenfone look reading comment seem put chrysler cd slot fit snug far buttttt put zenfone inch phone case cover hold way sturdiness touch phone want fall zenfone curve make contact phone mount grip edge phone way way risky alcatel idol nexus note fit awesome recommend phone holder phone back ding product star description say zenfone way holder zenfone guess wife get flex look something fit zenfone, -0.6808, 1]]"
B00Z0IC1GS,[0.9294],[5],"[[today, deliver, case, htc, mi, live, athens, greece, satisfy, caseit, elegant, phone, cource, case, arrive, day, earlierthank, amazonand, cource, company, deliver, case, greece, phone]]","[[today deliver case htc mi live athens greece satisfy caseit elegant phone cource case arrive day earlierthank amazonand cource company deliver case greece phone, 0.9294, 5]]"
B00Z0O3ZMG,[0.775],[4],"[[buy, multiple, color, please, product, go, phone, cute, novelty, case]]","[[buy multiple color please product go phone cute novelty case, 0.775, 4]]"
B00Z2M3H7Y,"[0.2023, -0.7351, 0.7269, 0.7717]","[5, 1, 4, 5]","[[charger, use, plug, lay, iphone, top, quick, charge, plug, phone], [ummmmm, charge, iphone, sad, sad, plug, something, iphone, want, place, charge], [light, charge, advise, bedroom, charge, night, otherwise, handy, item], [charge, iphone, install, phone, mine, case, take, longer, charge, plug]]","[[charger use plug lay iphone top quick charge plug phone, 0.2023, 5], [ummmmm charge iphone sad sad plug something iphone want place charge, -0.7351, 1], [light charge advise bedroom charge night otherwise handy item, 0.7269, 4], [charge iphone install phone mine case take longer charge plug, 0.7717, 5]]"
B00Z2SK3AW,[-0.8372],[1],"[[case, love, print, image, card, holder, loose, wont, hold, card, slip, purchase]]","[[case love print image card holder loose wont hold card slip purchase, -0.8372, 1]]"
B00Z61KZDK,[0.4404],[1],"[[credit, work, love, thing, own, die, port, go]]","[[credit work love thing own die port go, 0.4404, 1]]"
B00ZPLENNE,[0.8999],[5],"[[wireless, charger, work, happy, charge, speed, reliability, work, well, wireless, charger, use]]","[[wireless charger work happy charge speed reliability work well wireless charger use, 0.8999, 5]]"
B00ZSE2ESE,[-0.1027],[1],"[[get, phone, need, use]]","[[get phone need use, -0.1027, 1]]"
B00ZSFN2IE,[0.7089],[4],"[[product, please, quality, design, star, thing, miss, selfadhering, screen, protector, advertise, see, issue, speak, review, star, others, mention]]","[[product please quality design star thing miss selfadhering screen protector advertise see issue speak review star others mention, 0.7089, 4]]"
B00ZTFNSDM,[0.3612],[5],[[thx]],"[[thx, 0.3612, 5]]"
B00ZVY9N62,"[0.5719, 0.6249]","[5, 5]","[[excellent, quality, iphone], [work, charge, iphone, work, test, see, work]]","[[excellent quality iphone, 0.5719, 5], [work charge iphone work test see work, 0.6249, 5]]"
B00ZWP0Y8G,"[0.0, -0.6369, 0.9008]","[1, 1, 4]","[[junk], [star, way, piece, set, seem, look, itbr, recommend, look, protection], [scratch, phone, hat]]","[[junk, 0.0, 1], [star way piece set seem look itbr recommend look protection, -0.6369, 1], [scratch phone hat, 0.9008, 4]]"
B00ZZ1DZLA,[0.2263],[4],"[[band, look, feel, decent, stock, stainless, steel, black, sport, band, occasion, look, worth, money, dont, stainless, steel, band]]","[[band look feel decent stock stainless steel black sport band occasion look worth money dont stainless steel band, 0.2263, 4]]"
B01068BTXM,"[-0.2584, 0.4404, -0.4767]","[1, 1, 1]","[[suppose, connect, iphone, bose, listen, pandora, music, work, work, advertise], [product, didnt, work, return, product, easy, quick], [play, music, iphone]]","[[suppose connect iphone bose listen pandora music work work advertise, -0.2584, 1], [product didnt work return product easy quick, 0.4404, 1], [play music iphone, -0.4767, 1]]"
B0107T5R74,"[0.4404, 0.0, -0.4927, 0.8271]","[5, 4, 1, 4]","[[student, think, apple, watch, watch, look, refer, kid, try, figure, pair, got, buy, hotspot, upgrade, phone, note, expect, watch, awesome, get, hang, figure, phone, ], [waych, perform, exoected, buy], [work], [get, call, volume, weak, drive, walking, street, hear, quit, area, hear, manufacture, enhance, speaker]]","[[student think apple watch watch look refer kid try figure pair got buy hotspot upgrade phone note expect watch awesome get hang figure phone , 0.4404, 5], [waych perform exoected buy, 0.0, 4], [work, -0.4927, 1], [get call volume weak drive walking street hear quit area hear manufacture enhance speaker, 0.8271, 4]]"
B010GFHZB0,[0.8945],[5],"[[work, order, nexus, app, phone, handheld, viewer, dont, youre, smart, hunter, carry, phone, boneview, smallcustomer, service, contact, themhappy, view]]","[[work order nexus app phone handheld viewer dont youre smart hunter carry phone boneview smallcustomer service contact themhappy view, 0.8945, 5]]"
B010KSUH0Y,[0.9225],[5],"[[package, arrive, time, describe, value, quality, fitment, variety, color, well, expect, recommend, seller, thank]]","[[package arrive time describe value quality fitment variety color well expect recommend seller thank, 0.9225, 5]]"
B010MVE0P2,"[0.25, 0.893, -0.4939, 0.4754, 0.7956]","[4, 5, 5, 5, 5]","[[nice, think, tho], [temper, glass, phone, damage, love], [da, bomb], [receive, item, today, impress, packaging, open, instruction, follow, recommend, product, others], [apply, phone, fit, tell, therebr, br, dont, know, ever, remove]]","[[nice think tho, 0.25, 4], [temper glass phone damage love, 0.893, 5], [da bomb, -0.4939, 5], [receive item today impress packaging open instruction follow recommend product others, 0.4754, 5], [apply phone fit tell therebr br dont know ever remove, 0.7956, 5]]"
B010PA1Z2G,"[0.7717, -0.382, -0.9113, 0.0]","[3, 3, 2, 5]","[[daughter, love, ipod, case, ran, problem, cant, use, headphone, case, disappoint, anyone, make, case, think, detail, defeat, purpose, upset, parent, time], [goodquality, case], [fit, work, port, ipod, headphoneaux, jack, aux, cable, wide, fit, jack, case], [im, give, case, star, back, headphone, fit, port, open, hole, ipod, touch, see, logo, hole, look, reason, way, apple, logo, main, reason, give, case, star, headphone, port, cut, somehow, get, earbuds, fit, throughbr, br, volume, power, button, press, case, volumes, take, bit, strength, press, feel, button, go, power, button, press, fell, press, take, try, get, screen, offbr, br, case, fit, ipod, dont, worry, fall, case, edge, raise, drop, ipod, receive, case, dont, know, shock]]","[[daughter love ipod case ran problem cant use headphone case disappoint anyone make case think detail defeat purpose upset parent time, 0.7717, 3], [goodquality case, -0.382, 3], [fit work port ipod headphoneaux jack aux cable wide fit jack case, -0.9113, 2], [im give case star back headphone fit port open hole ipod touch see logo hole look reason way apple logo main reason give case star headphone port cut somehow get earbuds fit throughbr br volume power button press case volumes take bit strength press feel button go power button press fell press take try get screen offbr br case fit ipod dont worry fall case edge raise drop ipod receive case dont know shock, 0.0, 5]]"
B010ZHQNTY,[0.0],[5],"[[work, advertise]]","[[work advertise, 0.0, 5]]"
B0111ZFLPQ,[0.3182],[5],"[[cool, design]]","[[cool design, 0.3182, 5]]"
B011AJHXCC,"[0.4404, 0.0]","[5, 1]","[[dont, buy]]","[[dont buy, 0.4404, 5], [, 0.0, 1]]"
B011Q31V3E,[-0.2023],[1],"[[instal, evening, battery, life, nexus, gen, worse, battery, tablet, year, use, burn, battery, cause, shorter, shorter, battery, life, contact, customer, service, today, see, go]]","[[instal evening battery life nexus gen worse battery tablet year use burn battery cause shorter shorter battery life contact customer service today see go, -0.2023, 1]]"
B0120XS2ZE,[-0.4284],[1],"[[dead, arrival, receive, charger, work, folk, sell, want, know, experience, tell, break, heard, anything, customer, service, shady, get, dud, saw, review, want]]","[[dead arrival receive charger work folk sell want know experience tell break heard anything customer service shady get dud saw review want, -0.4284, 1]]"
B01275S6TM,"[0.9291, 0.979]","[5, 5]","[[theres, headset, matter, amazoncom, ebaycom, opinion, close, perfect, wanna, summarize, pro, followsbr, decent, soundbr, excellent, noice, cancellation, abilitybr, good, comfort, levebr, rangebr, put, feel, ear, take], [nice, look, headphone, dont, hurt, ear, lightweight, dont, feel, look, make, put, start, drama, watch, notice, sound, make, talk, time, business, car, hour, day, longtalk, time, headphone, enable, talk, whlie, drive, seems, save, time]]","[[theres headset matter amazoncom ebaycom opinion close perfect wanna summarize pro followsbr decent soundbr excellent noice cancellation abilitybr good comfort levebr rangebr put feel ear take, 0.9291, 5], [nice look headphone dont hurt ear lightweight dont feel look make put start drama watch notice sound make talk time business car hour day longtalk time headphone enable talk whlie drive seems save time, 0.979, 5]]"
B012VRCS40,"[0.6249, 0.6369]","[5, 5]","[[fit], [look, great, ipvli, keep, vape, scratch]]","[[fit, 0.6249, 5], [look great ipvli keep vape scratch, 0.6369, 5]]"
B0132CUYZS,[0.7003],[5],"[[nice, slim, case, rubber, feel, aroundbr, prevent, knicks, scratch, extra, grip]]","[[nice slim case rubber feel aroundbr prevent knicks scratch extra grip, 0.7003, 5]]"
