B0002BG6CI,[0.6249],[5],"[[product, job]]","[[product job, 0.6249, 5]]"
B00LJT2EPK,"[0.4588, -0.5162, -0.3804, 0.0, 0.6597, -0.743, 0.5859, -0.3071, 0.2449, 0.4588, 0.6486, 0.6249, -0.7469, 0.7184, 0.8225, -0.2732, 0.836, 0.8316, -0.8171, 0.3818, 0.6249, 0.0763, 0.8126, 0.8957, 0.4404, 0.8481, 0.7184, -0.5216, 0.6249, -0.4588, 0.6311, -0.7184, 0.4004, 0.0, 0.9471, 0.8979, -0.2732, 0.5574, 0.8107]","[5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 2, 5, 3, 1, 5, 5, 5, 5]","[[work, advertise, nexus], [work, advertise, charge, work, item, ship], [awesome, charger, charge, qc, phone, fast, great, short, car, trip, trip, people, need, charge, phone], [charge, note, price, get, day, arrive, describe], [compact, fast, charge], [update, br, br, receive, replacement, charger, show, charge, enable, connect, note, clue, try, vehicle, produce, result, state, purchase, show, quick, charge, whenever, connect, phone, anyone, suggestion, please, knowbr, br, update, br, br, customer, service, contact, review, tell, alot, company, make, expedite, replacement, hopefullybr, quick, chargebr, update, receive, confirm, goodbr, br, review, update, br, br, realize, charge, phone, purchase, indicate, quick, charge, engage, purchase, phonebr, br, warranty, course, valid, anymore, br, br, receive, product, fast, perfect, work, order, yes, provide, charging, mode, samsung, note, use, day, wasnt, warm, touch, usb, use, product], [dont, use, quick, charge, port, phone, longer, give, charging, plug, charger, message, use, acc, car, port, profilebr, br, use, combination, satechi, port, extender, httpsmileamazoncomgpproductbjpdzg, work, awesome], [charge, phone, take, turbo, charge], [charge, fast, quality, look], [charge, fast, orange, port, zcbr, br, buy, use, top, port, charge, gfs, iphone, im, sure, email, manufacturer, havent, heard], [awesome, great, quality, item], [work, droid, turbo, turbo, charger, meaning, work, advertise, secure, power, outlet, jeep, profile, design, consider, capability, sits, flush, port, port, snug], [job, suppose, charging, seem, construct, recommend, anyone], [work, quick, qc, quick, charger, oem, fast, charger, note, take, star, fit, socket, shaft, stick, doesnt, provide, charge, dip, bump, knock, contact, lighter, socket, power, something, keep, lock, place, work], [quickcharge, car, footprint, whats, love], [work, advertise, take, star, there, status, indicator, device, get, power, finicky, dc, jack, car, get, annoy, try, figure, power, came, jank, whatever], [amaze, work, expect, note, samsung, charger], [droid, charger, faster, standard, car, v, usb, charger], [product, work, amaze, note], [work, great, usb, port, problem, use, everyday, purchase, month], [work, great, phone, charge, quick, buy, vehicle], [charger, work, charge, device, youd, press, find, device, outperforms, guy, term, amperage, deliver, device, use, meter, phone, quick, charge, delivers, ma, delivers, ma], [car, charger, ever, purchase, quick, charge, port, know, charge, phone, port, charge, fast, charge, size, laptop, empty, bit, hour, drive, jersey, jersey, city], [fast, charge, galaxy, note, ], [device, nice, quality, usb, cable, isnt, great, stick, phone, doesnt, click, place, defective, amazon, great, give, credit, purchase, usb, charge, droid, turbo, fast], [work, expect, phone, charge, car], [use, charge, nexus, work, charge, wall, outlet, charger, seem, quality, recommend, youre, look, quick, charger], [charger, lg, g], [work, great, lgg, support, qualcomm, fast, charge, charge, port, work, tablet, quality, unit, get], [work, great, charge], [problem, get, seat, car, pop, want, charge, play, got, charge, decide, play, work, gave, need, break, charge, g, great], [standard, usb, car, charger, plug, provide, trickle, charge, m, shock, aukey, charge, minute, feel, color, cod, nice], [fit, honda, accord, accessory, socket, galaxy, note, recognize, charger, phone, charge, wall, map, navigation, run, screen, turn, battery, br, charger, prove, vacation, friend, provide, juice, charge, note, oneplusone, timebr, br, caveatsbr, orange, usb, port, support, quick, charge, green, port, provide, abr, micro, usb, cable, include, buy, charge, device, youll, need, apple, idevices], [excellent, device, excellent, customer, service], [charger, work, advertise, work, maxx, qualm, status, lead, include, tell, power, charger, compact], [product, work, moto, x, problem, audi, cigarette, lighter, give, product, star, rating, take, star, cord, sent, build, notice, didnt, look, correct, get, work, realize, metal, part, go, phone, charge, bent, clip, hold, sticking, cause, connection, come, apart, disregard, cord, sand, use], [work, problem, nexus, phone, recognize, qc, mode, unplug, device, lighter, port, replug, get, highpower, flow, phone, quicker, charge, time], [port, fast, charge, thats, charge, note, slow, insane, disappointment, btw, use, phone], [work, great, note, last, month]]","[[work advertise nexus, 0.4588, 5], [work advertise charge work item ship, -0.5162, 4], [awesome charger charge qc phone fast great short car trip trip people need charge phone, -0.3804, 4], [charge note price get day arrive describe, 0.0, 5], [compact fast charge, 0.6597, 5], [update br br receive replacement charger show charge enable connect note clue try vehicle produce result state purchase show quick charge whenever connect phone anyone suggestion please knowbr br update br br customer service contact review tell alot company make expedite replacement hopefullybr quick chargebr update receive confirm goodbr br review update br br realize charge phone purchase indicate quick charge engage purchase phonebr br warranty course valid anymore br br receive product fast perfect work order yes provide charging mode samsung note use day wasnt warm touch usb use product, -0.743, 5], [dont use quick charge port phone longer give charging plug charger message use acc car port profilebr br use combination satechi port extender httpsmileamazoncomgpproductbjpdzg work awesome, 0.5859, 5], [charge phone take turbo charge, -0.3071, 4], [charge fast quality look, 0.2449, 5], [charge fast orange port zcbr br buy use top port charge gfs iphone im sure email manufacturer havent heard, 0.4588, 5], [awesome great quality item, 0.6486, 5], [work droid turbo turbo charger meaning work advertise secure power outlet jeep profile design consider capability sits flush port port snug, 0.6249, 2], [job suppose charging seem construct recommend anyone, -0.7469, 4], [work quick qc quick charger oem fast charger note take star fit socket shaft stick doesnt provide charge dip bump knock contact lighter socket power something keep lock place work, 0.7184, 5], [quickcharge car footprint whats love, 0.8225, 5], [work advertise take star there status indicator device get power finicky dc jack car get annoy try figure power came jank whatever, -0.2732, 5], [amaze work expect note samsung charger, 0.836, 5], [droid charger faster standard car v usb charger, 0.8316, 5], [product work amaze note, -0.8171, 4], [work great usb port problem use everyday purchase month, 0.3818, 5], [work great phone charge quick buy vehicle, 0.6249, 5], [charger work charge device youd press find device outperforms guy term amperage deliver device use meter phone quick charge delivers ma delivers ma, 0.0763, 5], [car charger ever purchase quick charge port know charge phone port charge fast charge size laptop empty bit hour drive jersey jersey city, 0.8126, 5], [fast charge galaxy note , 0.8957, 5], [device nice quality usb cable isnt great stick phone doesnt click place defective amazon great give credit purchase usb charge droid turbo fast, 0.4404, 5], [work expect phone charge car, 0.8481, 5], [use charge nexus work charge wall outlet charger seem quality recommend youre look quick charger, 0.7184, 4], [charger lg g, -0.5216, 5], [work great lgg support qualcomm fast charge charge port work tablet quality unit get, 0.6249, 5], [work great charge, -0.4588, 4], [problem get seat car pop want charge play got charge decide play work gave need break charge g great, 0.6311, 4], [standard usb car charger plug provide trickle charge m shock aukey charge minute feel color cod nice, -0.7184, 2], [fit honda accord accessory socket galaxy note recognize charger phone charge wall map navigation run screen turn battery br charger prove vacation friend provide juice charge note oneplusone timebr br caveatsbr orange usb port support quick charge green port provide abr micro usb cable include buy charge device youll need apple idevices, 0.4004, 5], [excellent device excellent customer service, 0.0, 3], [charger work advertise work maxx qualm status lead include tell power charger compact, 0.9471, 1], [product work moto x problem audi cigarette lighter give product star rating take star cord sent build notice didnt look correct get work realize metal part go phone charge bent clip hold sticking cause connection come apart disregard cord sand use, 0.8979, 5], [work problem nexus phone recognize qc mode unplug device lighter port replug get highpower flow phone quicker charge time, -0.2732, 5], [port fast charge thats charge note slow insane disappointment btw use phone, 0.5574, 5], [work great note last month, 0.8107, 5]]"
B00LO1MQ7E,"[-0.7543, 0.3818]","[3, 5]","[[item, work, good, week, sudden, stop, work, light, stop, light, charge], [work, profile, help, keep, way]]","[[item work good week sudden stop work light stop light charge, -0.7543, 3], [work profile help keep way, 0.3818, 5]]"
B00LWBSNVE,"[0.6249, 0.4588]","[5, 5]","[[satbr, br, satisfy], [use]]","[[satbr br satisfy, 0.6249, 5], [use, 0.4588, 5]]"
B00M0TJBW2,"[-0.2118, 0.7717, 0.5598, 0.4404]","[3, 1, 1, 5]","[[saw, lot, star, give, product, decide, buy, black, transparent, great, beginning, device, protect, grip, week, use, pice, start, notice, right, side, become, bit, loser, week, side, start, come, picture, miss, use, beginning, rest, side, start, come, decide, use, second, problem, side, start, come, seems, implement, using, transparent, advantage, disadvantage, compare, advantage, thinner, disadvantage, doubt, resist, drop, black, wish, get, feedback, iblason, product, doesnt, make, sense, buy, multiple, item, product], [product], [bumper, side, expect, seeand, side, tear, apart, main, bodyi, better, stick, apple, case], [nice]]","[[saw lot star give product decide buy black transparent great beginning device protect grip week use pice start notice right side become bit loser week side start come picture miss use beginning rest side start come decide use second problem side start come seems implement using transparent advantage disadvantage compare advantage thinner disadvantage doubt resist drop black wish get feedback iblason product doesnt make sense buy multiple item product, -0.2118, 3], [product, 0.7717, 1], [bumper side expect seeand side tear apart main bodyi better stick apple case, 0.5598, 1], [nice, 0.4404, 5]]"
B00M1XWRX2,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00M6TKVOI,[0.7964],[5],"[[amaze, product, buy, confidence]]","[[amaze product buy confidence, 0.7964, 5]]"
B00M9KCXOK,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B00MHV8RE6,"[0.2732, -0.6258]","[4, 4]","[[buy, screen, protector, card, rub, agains, screen, create, subtle, scratch, line], [fell, apart, awhile, month, use, seam, inside, card, holder, area, come, loose, pull, lining, break, phone, fault, fell, face, rock, job]]","[[buy screen protector card rub agains screen create subtle scratch line, 0.2732, 4], [fell apart awhile month use seam inside card holder area come loose pull lining break phone fault fell face rock job, -0.6258, 4]]"
B00MOKMVKQ,[0.4927],[5],[[product]],"[[product, 0.4927, 5]]"
B00MVOLNTK,"[0.6705, 0.6369]","[5, 5]","[[case], [nd, elago, case, design, cute, color]]","[[case, 0.6705, 5], [nd elago case design cute color, 0.6369, 5]]"
B00MX3LTFW,"[0.9312, 0.4927]","[5, 5]","[[screen, protector, quality, fit]]","[[screen protector quality fit, 0.9312, 5], [, 0.4927, 5]]"
B00MX6FNPQ,[0.7906],[5],"[[otterbox, user, year, try, product, find, amazon, product, stronger, otterbox, drop, product, occasion, run, rid, lawnmover, minor, scratch, perfect, work, order]]","[[otterbox user year try product find amazon product stronger otterbox drop product occasion run rid lawnmover minor scratch perfect work order, 0.7906, 5]]"
B00MXNPUES,"[-0.296, -0.1431, 0.7809]","[4, 2, 5]","[[doesnt, fit, iphone, otterbox, dont, otterbox, price, guess, thats, dollar], [work, great, protects, design, help, keep, downside, top, bottom, loose, issue, remove, clean], [review]]","[[doesnt fit iphone otterbox dont otterbox price guess thats dollar, -0.296, 4], [work great protects design help keep downside top bottom loose issue remove clean, -0.1431, 2], [review, 0.7809, 5]]"
B00MYIK0G0,[0.6249],[4],[[work]],"[[work, 0.6249, 4]]"
B00N290MQ8,"[0.9743, 0.7579]","[5, 5]","[[come, date, wish, track, wish, instruction, include, cause, hard, time, try, figure, use, case], [case, fit, duty, love, protect, phone, drop, think, itll, last, time, color, find, purse]]","[[come date wish track wish instruction include cause hard time try figure use case, 0.9743, 5], [case fit duty love protect phone drop think itll last time color find purse, 0.7579, 5]]"
B00N3SQBSQ,[0.6369],[5],"[[case, ]]","[[case , 0.6369, 5]]"
B00N4K099K,[0.6249],[5],"[[product, output, connection, car, buy, son]]","[[product output connection car buy son, 0.6249, 5]]"
B00NAHHS7I,"[0.8357, -0.3182, 0.7003, 0.0, -0.481, 0.7506]","[3, 5, 5, 3, 2, 5]","[[quality, price], [get, dirty, material, great, protects, phone, advertise], [iphone, plus, month, drop, abuse, protect, phone, transparent, design, detract, iphones, look, get, pocket, purse], [tab, stay, close, charger, port, second, bought, problem], [turn, yellow], [quality, case, price, block, dust, drop]]","[[quality price, 0.8357, 3], [get dirty material great protects phone advertise, -0.3182, 5], [iphone plus month drop abuse protect phone transparent design detract iphones look get pocket purse, 0.7003, 5], [tab stay close charger port second bought problem, 0.0, 3], [turn yellow, -0.481, 2], [quality case price block dust drop, 0.7506, 5]]"
B00NAYBA66,[0.9274],[5],"[[bumper, case, good, protection, coverage, vital, area, protect, corner, cover, front, leave, recess, case, accidental, drop, price, mind, replace, shiny, get, bit, dull, wear, ive, buy, edit, point, case, g, years, replace, get, shiny, drop, phone, hundred, time, incident, say, money, look, case, great, choice]]","[[bumper case good protection coverage vital area protect corner cover front leave recess case accidental drop price mind replace shiny get bit dull wear ive buy edit point case g years replace get shiny drop phone hundred time incident say money look case great choice, 0.9274, 5]]"
B00NF0O3Y6,[0.743],[4],"[[awsome, quality, head, phone, son, love, accept, bulky, cant, lay, side, fall, asleep, aside, sound]]","[[awsome quality head phone son love accept bulky cant lay side fall asleep aside sound, 0.743, 4]]"
B00NFYJILA,"[0.6369, 0.8625]","[5, 5]","[[photo, tho, feel, nice, hand], [case, look, sprint, cost]]","[[photo tho feel nice hand, 0.6369, 5], [case look sprint cost, 0.8625, 5]]"
B00NGQS5MA,[0.6597],[5],"[[excellent, item, nd, purchase, amazon]]","[[excellent item nd purchase amazon, 0.6597, 5]]"
B00NH7A74W,[0.8519],[5],"[[case, use, brand, last, phone, fit]]","[[case use brand last phone fit, 0.8519, 5]]"
B00NHG0374,"[-0.4404, 0.0]","[1, 1]","[[month, chargng, phone, charge, blew, spark, scar, unplug], [cord, charge, product, use, dont, know, coincidence, use, phone, kindle, lose, ability, charge, anymore, replace, buy]]","[[month chargng phone charge blew spark scar unplug, -0.4404, 1], [cord charge product use dont know coincidence use phone kindle lose ability charge anymore replace buy, 0.0, 1]]"
B00NJ6LDW6,[0.7845],[5],"[[deal, save, pay, insurance, claim]]","[[deal save pay insurance claim, 0.7845, 5]]"
B00NLM45YG,[0.836],[4],"[[broke, use, hinge, broke, love, get, compliment, carry, purse, downfall, hold, card, put, place, mirror, love]]","[[broke use hinge broke love get compliment carry purse downfall hold card put place mirror love, 0.836, 4]]"
B00NQG2YXQ,"[0.4404, -0.1306]","[3, 5]","[[year, oem, worksbr, br, dont, view, window, black, cover, opinion, doesnt, speak, quality, cover, anything, relate, seller], [case]]","[[year oem worksbr br dont view window black cover opinion doesnt speak quality cover anything relate seller, 0.4404, 3], [case, -0.1306, 5]]"
B00NVLVVUS,"[0.765, -0.2755]","[5, 1]","[[fit, button, work, bumper, screen, rest, whatever, set, onbr, br, vendor, ship, pack, sufficient], [case, area, ringer, switch, power, plug, crack, period, month, use, dont, recommend]]","[[fit button work bumper screen rest whatever set onbr br vendor ship pack sufficient, 0.765, 5], [case area ringer switch power plug crack period month use dont recommend, -0.2755, 1]]"
B00NZHE4OS,[0.765],[5],"[[perfect, good, price]]","[[perfect good price, 0.765, 5]]"
B00O0OOEGS,"[-0.4215, -0.2619]","[1, 4]","[[nice, armband, fit, iphone, griffin, survivor, core, minimal, case, say, fit, people, arm, arm, arent, mean, im, guy, dont, feel, there, room, leave, armband], [broke, use]]","[[nice armband fit iphone griffin survivor core minimal case say fit people arm arm arent mean im guy dont feel there room leave armband, -0.4215, 1], [broke use, -0.2619, 4]]"
B00O0T7F7I,"[0.4215, -0.4215, 0.0, 0.765, 0.4215, 0.7906, 0.702]","[4, 1, 5, 5, 5, 4, 4]","[[fit, access, port], [look, great, mini, sure, show, search, result, shame, design, beautiful, case, sturdy], [cover, look, use, scratch, back, attach, picture, let, people, know, product, way, advertisedbr, total, waste, time, money], [expect, thing, edge, bit, worth, value], [hardy, case, stylish, get, job, done], [nice, case]]","[[fit access port, 0.4215, 4], [look great mini sure show search result shame design beautiful case sturdy, -0.4215, 1], [cover look use scratch back attach picture let people know product way advertisedbr total waste time money, 0.0, 5], [expect thing edge bit worth value, 0.765, 5], [hardy case stylish get job done, 0.4215, 5], [nice case, 0.7906, 4], [, 0.702, 4]]"
B00O1L8D0I,[0.7227],[5],"[[take, week, ship, item, perfect]]","[[take week ship item perfect, 0.7227, 5]]"
B00O4RFUPA,[0.6369],[5],[[fit]],"[[fit, 0.6369, 5]]"
B00O53FT2C,[0.0],[3],"[[get, product, time, glow, dark, ]]","[[get product time glow dark , 0.0, 3]]"
B00O8NSXNQ,[0.9545],[5],"[[oh, god, love, case, super, cute, fit, everything, couldve, dream]]","[[oh god love case super cute fit everything couldve dream, 0.9545, 5]]"
B00O8YO5VE,[-0.4585],[1],"[[happy, product, shipping, take, day, suppose, couple, day, product, expect, describe, page]]","[[happy product shipping take day suppose couple day product expect describe page, -0.4585, 1]]"
B00OE78KS4,[-0.438],[1],"[[work, use, iphone, wifi, didnt, work, activate, virgin, boost, mobile, need, buy, phone, return, iphone]]","[[work use iphone wifi didnt work activate virgin boost mobile need buy phone return iphone, -0.438, 1]]"
B00OKT7R0I,[0.4927],[5],[[product]],"[[product, 0.4927, 5]]"
B00OUCU7X4,[0.0],[5],"[[beautifulslimnon, sliphave, receive, complement]]","[[beautifulslimnon sliphave receive complement, 0.0, 5]]"
B00OXJHFDE,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00OYJ5UYY,"[0.0382, 0.6697, -0.0516]","[4, 3, 1]","[[buy, strain, eye, belife], [scratch, replace, month, privacy, screen, nice], [star, cover, hold, phone, leave, part, uncover]]","[[buy strain eye belife, 0.0382, 4], [scratch replace month privacy screen nice, 0.6697, 3], [star cover hold phone leave part uncover, -0.0516, 1]]"
B00OZNDOLA,[0.9572],[3],"[[happy, product, sound, neat, sound, clear, answer, phone, people, talk, say, quality, give, star, get, disconnect, connection, turn, repair, phone, device, wait, connects, happen, couple, time, listen, music, get, cut, turn, today, connector, car, jack, fuse, inside, broke, screw, hold, separate, connector, screw, piece, connects, fuse, stay, jack, get, key, didnt, brake, get, fuse, get, fix, break, see, put, fuse, thing, forward, button, backward, button, reverse, go, song, gotta, hit, button, go, beginning, gotta, hit, forward, button, doesnt, itll, lose, star, find, fuse, put, work, thing, fix, happen, try, song, change, frequency, tell, press, ch, button, put, frequency, music, keep, playing, btw, cause, distraction, bit, annoy, reason, keep, star]]","[[happy product sound neat sound clear answer phone people talk say quality give star get disconnect connection turn repair phone device wait connects happen couple time listen music get cut turn today connector car jack fuse inside broke screw hold separate connector screw piece connects fuse stay jack get key didnt brake get fuse get fix break see put fuse thing forward button backward button reverse go song gotta hit button go beginning gotta hit forward button doesnt itll lose star find fuse put work thing fix happen try song change frequency tell press ch button put frequency music keep playing btw cause distraction bit annoy reason keep star, 0.9572, 3]]"
B00P28JMG8,"[0.8834, 0.6369, 0.7506, 0.7964, 0.6486]","[5, 5, 4, 5, 4]","[[case, iv, love, use, day, perfect, id, money, card, issue, fall, apart, anything, buy], [value], [buy, case, mom, hold, mother, day, year, say, think, hold, use, phone, tech, savvy, us, phone, make, phone, call], [use]]","[[case iv love use day perfect id money card issue fall apart anything buy, 0.8834, 5], [value, 0.6369, 5], [buy case mom hold mother day year say think hold use phone tech savvy us phone make phone call, 0.7506, 4], [use, 0.7964, 5], [, 0.6486, 4]]"
B00P60QKSK,[0.8744],[5],"[[samsung, phone, case, great, ive, receive, compliment, dainty, classy, step, lunch, dont, take, purse]]","[[samsung phone case great ive receive compliment dainty classy step lunch dont take purse, 0.8744, 5]]"
B00P6SHBQ2,[0.6478],[5],"[[state, work, x, gen, thanks]]","[[state work x gen thanks, 0.6478, 5]]"
B00P814688,"[-0.2755, -0.5256]","[1, 1]","[[purchase, clip, pull, day, purchase, holster, put, gorilla, glue, purchase, something, quality], [doesnt, fit, turbo, phone]]","[[purchase clip pull day purchase holster put gorilla glue purchase something quality, -0.2755, 1], [doesnt fit turbo phone, -0.5256, 1]]"
B00P9Y79V0,"[0.0, 0.0]","[1, 1]","[[work, droid, advertise], [make]]","[[work droid advertise, 0.0, 1], [make, 0.0, 1]]"
B00PADSP36,"[0.4927, 0.0, 0.902, -0.2263]","[5, 5, 5, 4]","[[drop, phone, time, phone, scratch, crack, broke, way, pop, side, couple, time, fix, simple, squeeze], [case, love, material, color, buy, husband, phone], [greatfast, shipping]]","[[drop phone time phone scratch crack broke way pop side couple time fix simple squeeze, 0.4927, 5], [case love material color buy husband phone, 0.0, 5], [greatfast shipping, 0.902, 5], [, -0.2263, 4]]"
B00PF79GBM,[-0.8402],[1],"[[disappoint, look, nice, didnt, snap, attempt, remove, attempt, tab, break, order, something, quality]]","[[disappoint look nice didnt snap attempt remove attempt tab break order something quality, -0.8402, 1]]"
B00PMUXR58,[0.5719],[5],"[[awesome, case, price]]","[[awesome case price, 0.5719, 5]]"
B00Q2AOA4O,[0.9183],[5],"[[buy, friend, birthday, gift, get, mail, open, addict, glitter, couldnt, stop, look, buy]]","[[buy friend birthday gift get mail open addict glitter couldnt stop look buy, 0.9183, 5]]"
B00Q3F074K,"[0.836, 0.296, 0.9705, 0.9423, 0.6249, 0.7579, 0.9133]","[5, 4, 5, 5, 5, 5, 4]","[[meet, need, value, price], [excellent, smart, phone, lock, o, draw, g, take, become, accustom, provide, user, manualguide, lack, indepth, detail, take, perseverance, learn, detail, price, x, tracfone, boot, excellent, value, product, receive, advertise, give, star, o], [wow, phone, contract, work], [dont, comment, spec, say, tracfone, mile, zte, valet, hand, fit, purse, pocket, call, texting, emailing, web, search, music, playing, need, thrill, move, glad, get, amazon, come, airtime, card, less, tracfone, want, phone, alone], [ok, phone, price], [deal], [difference, go, zte, valet, smart, phone, lg, ultimate, ultimate, pleasure, use, feature, want, provides, well, wifi, strength, range, phone, transfer, minute, phone, use, enclose, tracfone, card, need, im, impress]]","[[meet need value price, 0.836, 5], [excellent smart phone lock o draw g take become accustom provide user manualguide lack indepth detail take perseverance learn detail price x tracfone boot excellent value product receive advertise give star o, 0.296, 4], [wow phone contract work, 0.9705, 5], [dont comment spec say tracfone mile zte valet hand fit purse pocket call texting emailing web search music playing need thrill move glad get amazon come airtime card less tracfone want phone alone, 0.9423, 5], [ok phone price, 0.6249, 5], [deal, 0.7579, 5], [difference go zte valet smart phone lg ultimate ultimate pleasure use feature want provides well wifi strength range phone transfer minute phone use enclose tracfone card need im impress, 0.9133, 4]]"
B00QEQXCB8,[0.8402],[5],"[[product, great, price, ship]]","[[product great price ship, 0.8402, 5]]"
B00QF3X7MY,[0.4404],[4],"[[work, good, material]]","[[work good material, 0.4404, 4]]"
B00QFWPD9U,[0.6249],[5],[[case]],"[[case, 0.6249, 5]]"
B00QGGMFLY,[0.1744],[4],"[[problem, stick, use, glue, work]]","[[problem stick use glue work, 0.1744, 4]]"
B00QGX3ZK2,[0.8246],[1],"[[work, purchase, cord, damage, cord, charge, fast, fact, recommend, spending, cord]]","[[work purchase cord damage cord charge fast fact recommend spending cord, 0.8246, 1]]"
B00QIZW9LO,[0.8316],[5],"[[case, fit, perfect, rubber, material]]","[[case fit perfect rubber material, 0.8316, 5]]"
B00QSURBSA,"[0.4822, 0.0, -0.296, 0.6369, -0.4019, 0.8979]","[1, 4, 2, 5, 2, 5]","[[look, photo, work, month, cord, split, head, part, plug, phone, begin, unravel, inside, fluke, nonetheless], [work], [product, garbage, bought, last, month, think, random, fluke, buy, last, day, day, cord, work, fine, day, wouldnt, charge, iphone, ipad, dont, waste, money], [advertise], [order, family, member, love, price, fit, need, need, cord], [need, cord, apple, ipad, cord, way, short, error, suppose, order, need, cord, cord, iphone, g]]","[[look photo work month cord split head part plug phone begin unravel inside fluke nonetheless, 0.4822, 1], [work, 0.0, 4], [product garbage bought last month think random fluke buy last day day cord work fine day wouldnt charge iphone ipad dont waste money, -0.296, 2], [advertise, 0.6369, 5], [order family member love price fit need need cord, -0.4019, 2], [need cord apple ipad cord way short error suppose order need cord cord iphone g, 0.8979, 5]]"
B00QURUYN0,[0.4404],[5],[[cover]],"[[cover, 0.4404, 5]]"
B00QVGCVE0,[0.5719],[5],[[love]],"[[love, 0.5719, 5]]"
B00R2AKT70,[0.7506],[3],"[[work, great, break]]","[[work great break, 0.7506, 3]]"
B00R6POKIK,[0.9149],[5],"[[case, droid, turbo, kickstand, work, soft, part, case, grip, nonslip, handbr, br, problem, ive, case, downvolume, button, difficult, press, silicone, recommend, case, try, brand, model]]","[[case droid turbo kickstand work soft part case grip nonslip handbr br problem ive case downvolume button difficult press silicone recommend case try brand model, 0.9149, 5]]"
B00RK2GT5Q,"[0.6249, 0.5003, 0.6249, 0.0, 0.6213, 0.0, 0.0, 0.5106, 0.2732, 0.0, 0.6249, -0.5765, 0.8653, 0.2023, 0.5106, 0.765]","[5, 2, 5, 2, 4, 1, 1, 1, 1, 1, 5, 1, 4, 2, 5, 5]","[[stick, fine, window, stick, textured, dash], [attach, windshield, feel, grip, however, minute, iphone, holder, fall], [im, hold, phone, stick, textured, dashboard, tighten, hold, nexus], [buy, use, cell, phone, business, trip, work, windshield, day, fine, day, put, cell, phone, mount, couldnt, hold, weight, peel, try, time, afterwards, fell, everytime, resort, take, colleague, hold, phone, drive, threw, buck, trash], [open, arm, pull, slingshot, use, bowflex, squeeze, daylight, iphone], [appropriate, size, phone, mount, easy, install, suction], [work, fine, recommend], [wont, stay, suction, attach, window, dashboard], [holder, adhere, surface, car, phone, stay, hour], [suction, cup, good, recommend, anyone], [look, mount, sleek, use, hold, iphone, problem, keep, fall, dashboard, sure, base, sticky, lock, place], [work, great], [work, great], [wont, stay, put, suction, cup, there, potential, think, go, return, go, cost, im, try, find, use]]","[[stick fine window stick textured dash, 0.6249, 5], [attach windshield feel grip however minute iphone holder fall, 0.5003, 2], [im hold phone stick textured dashboard tighten hold nexus, 0.6249, 5], [buy use cell phone business trip work windshield day fine day put cell phone mount couldnt hold weight peel try time afterwards fell everytime resort take colleague hold phone drive threw buck trash, 0.0, 2], [open arm pull slingshot use bowflex squeeze daylight iphone, 0.6213, 4], [appropriate size phone mount easy install suction, 0.0, 1], [work fine recommend, 0.0, 1], [wont stay suction attach window dashboard, 0.5106, 1], [holder adhere surface car phone stay hour, 0.2732, 1], [suction cup good recommend anyone, 0.0, 1], [look mount sleek use hold iphone problem keep fall dashboard sure base sticky lock place, 0.6249, 5], [work great, -0.5765, 1], [work great, 0.8653, 4], [wont stay put suction cup there potential think go return go cost im try find use, 0.2023, 2], [, 0.5106, 5], [, 0.765, 5]]"
B00S14LK2O,[0.2023],[1],"[[look, dont, depend, drop]]","[[look dont depend drop, 0.2023, 1]]"
B00S2BCUQG,[-0.6549],[1],"[[hate, thing, magnet, align, tilt, shift, slightest, amount, force, top, lead, magnet, fact, z, charge, magnet, override, rotation, lock, something, think, use, frustrate, youre, use, bed, magnet, manages, stay, connectedbr, br, open, microusb, flap, way, less, save, money]]","[[hate thing magnet align tilt shift slightest amount force top lead magnet fact z charge magnet override rotation lock something think use frustrate youre use bed magnet manages stay connectedbr br open microusb flap way less save money, -0.6549, 1]]"
B00S5P04C6,"[0.7096, 0.8737, -0.2177, 0.4404]","[5, 5, 4, 5]","[[work, sense, card, phone, im, think, card, fault, charger], [charger, work, galaxy, scepticialbecause, pricebut, find, product, charge, phone, phone, case], [love, product, love, set, charge], [use, note, charge, rate, work]]","[[work sense card phone im think card fault charger, 0.7096, 5], [charger work galaxy scepticialbecause pricebut find product charge phone phone case, 0.8737, 5], [love product love set charge, -0.2177, 4], [use note charge rate work, 0.4404, 5]]"
B00SFGXMUG,[0.942],[5],"[[please, put, great, clarity, purchase]]","[[please put great clarity purchase, 0.942, 5]]"
B00SFYCKCY,[-0.5413],[1],"[[phone, work, case]]","[[phone work case, -0.5413, 1]]"
B00SG8HYWU,[0.6249],[5],"[[price, charge]]","[[price charge, 0.6249, 5]]"
B00SL43TXW,[0.7264],[5],"[[use, onceworked, advertise, pair, sound, good]]","[[use onceworked advertise pair sound good, 0.7264, 5]]"
B00SL7E582,[0.0],[1],"[[make, doesnt, offer, protection]]","[[make doesnt offer protection, 0.0, 1]]"
